eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,summary,success,suicide,attacktype1_txt,targtype1_txt,target1,gname,motive,nperps,weaptype1_txt,nkill,nwound
199803310001,1998,3,31,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,"03/31/1998: Suspected members of Muttahida Qaumi Movement-Haqiqi (MQM) used bombs to attack a crowded market in Karachi, Pakistan, killing three and wounding 11 others. The market sustained substantial damage.",1,0,Bombing/Explosion,Private Citizens & Property,"Civilians at a market in Karachi, Pakistan",Muttahida Qami Movement (MQM),Unknown,,Explosives,3.0,11.0
199908050003,1999,8,5,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,"08/05/1999: Four armed men opened fire with Kalashnikovs on a police post in the busy eastern Gulshan-e-Iqbal area in Karachi, Pakistan, killing a policeman and a passerby and injuring three other policemen. The assailants were driving by at the time of the attack. Officials blamed the attack on the Muttahida Qaumi Movement (MQM), which denied the allegation.",1,0,Armed Assault,Police,"Police post in Gulshan-e-Iqbal, Karachi, Pakistan",Muttahida Qami Movement (MQM),Unknown,,Firearms,2.0,3.0
200009130009,2000,9,13,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,"9/13/2000: Two members of the Mohajir Qami Movement were killed in a drive-by shooting in the central Liaquatabad area in Karachi, Pakistan. Rashid Anwer and Munir Ahmed were gunned down by two masked gunmen on a motorcycle. Mohajir Qaumi Movement has been locked in a bitter feud with the rival group Muttahida Qami Movement (MQM).",1,0,Armed Assault,Government (General),"Rashid Anwer and Munir Ahmed, Mohajir Qami Movement activists",Muttahida Qami Movement (MQM),"Specific motive is unknown, but the victims were members of a political party that was in harsh rivalry with the Muttahida Qami Movement",2.0,Firearms,2.0,0.0
200104180005,2001,4,18,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,"04/18/2001: Militants suspected from the Muttahida Qami Movement (MQM) exploded two bombs in Clifton area of Karachi, Pakistan, killing two people.",1,0,Bombing/Explosion,Private Citizens & Property,"Indiscriminate civilians in the Clifton area of Karachi, Pakistan",Muttahida Qami Movement (MQM),Unknown,,Explosives,2.0,
200205010003,2002,5,1,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,"05/01/2002: In two related incidents, perpetrators planted and exploded two bombs in Karachi, Pakistan. This first blast occurred at Al-Khair Juice Center and injured four people. Local authorities believed that these incidents were related to a recent labor strike orchestrated by Muttahida Qami Movement (MQM). MQM, however, did not claim responsibility for the incident.",1,0,Bombing/Explosion,Business,Al-Khair Juice Center,Muttahida Qami Movement (MQM),Unknown,2.0,Explosives,0.0,4.0
200205010004,2002,5,1,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,"05/01/2002: In two related incidents, perpetrators planted and exploded two bombs in Karachi, Pakistan. This second blast occurred, about 30 minutes after the first in Karachi, at the Empress Market and injured 16 people. Local authorities believed that the attacks were related to a strike that had been called by the Muttahida Qami Movement (MQM). MQM, however, did not claim responsibility for the bombing.",1,0,Bombing/Explosion,Business,Shaheen Masala Store,Muttahida Qami Movement (MQM),Unknown,,Explosives,0.0,16.0
200205020002,2002,5,2,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,"05/02/2002: A boy, Shamsur Rehman, was killed and five others were injured when a bomb in a bag exploded inside a store. The bomb exploded after Rehman carried the bag into the store. No group claimed responsibility for the bombing, but the local ethnic political party, Muttahida Qami Movement (MQM), was suspected of being behind the attack. Just before the rise in violence and this incident occurred, the MQM called for a strike to protest the murder of two of its leaders, but its deputy chief Nassreen Jalil “condemned” this and all other “blasts.’",1,0,Bombing/Explosion,Business,Shop,Muttahida Qami Movement (MQM),Unknown,,Explosives,1.0,5.0
200205020003,2002,5,2,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,"05/02/2002: A bomb exploded outside of a music shop in Karachi, Pakistan. No one was injured in the attack, but the shop and two cars were damaged. No group claimed responsibility, but theMuttahida Qami Movement (MQM) was suspected of being behind the attack. Just before the rise in violence and this incident occurred, the MQM called for a strike to protest the murder of two of its leaders. MQM's Deputy Chief, Nassreen Jalil, condemned this bombing attack.",1,0,Bombing/Explosion,Business,A Music Shop located in Karachi's southern district,Muttahida Qami Movement (MQM),Unknown,,Explosives,0.0,0.0
201301310018,2013,1,31,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"01/31/2013: An assailant opened fire on a Jamia Banuri Uloom Islamia Seminary vehicle transporting clerics in Nursery neighborhood, Karachi, Pakistan. At least three clerics were killed in the assault. No group claimed responsibility; however, sources attributed the attack to the Muttahida Qami Movement (MQM).",1,0,Armed Assault,Religious Figures/Institutions,"Sunni Clerics: Abdul Majeed Deenpuri, Mohammad Saleh",Muttahida Qami Movement (MQM),"The specific motive is unknown; however, sources speculate that the attack may be part of a larger trend of sectarian violence between Pakistan's majority Sunni and minority Shiite communities.",1.0,Firearms,3.0,0.0
201601290021,2016,1,29,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"01/29/2016: Assailants threw an explosive device at a Pakistan Rangers post in North Nazimabad neighborhood, Karachi, Sindh province, Pakistan. There were no reported casualties in the blast. Muttahida Qami Movement (MQM) claimed responsibility for the incident. In addition, officials attributed the attack to Al-Qaida in the Indian Subcontinent.",1,0,Bombing/Explosion,Military,Post,Muttahida Qami Movement (MQM),,3.0,Explosives,0.0,0.0
201603180019,2016,3,18,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"03/18/2016: Assailants threw an explosive device at a Pakistan Rangers checkpost in Korangi neighborhood, Karachi, Sindh, Pakistan. At least two soldiers were injured in the blast. Muttahida Qami Movement (MQM) claimed responsibility for the attack.",1,0,Bombing/Explosion,Military,Checkpost,Muttahida Qami Movement (MQM),,3.0,Explosives,0.0,2.0
201603210023,2016,3,21,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"03/21/2016: Assailants threw an explosive device at a Pakistan Rangers checkpost in Korangi neighborhood, Karachi, Sindh, Pakistan. There were no reported casualties in the blast. Muttahida Qami Movement (MQM) claimed responsibility for the attack.",1,0,Bombing/Explosion,Military,Checkpost,Muttahida Qami Movement (MQM),,4.0,Explosives,0.0,0.0
201707170038,2017,7,17,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"07/17/2017: Assailants opened fire on Pak Sarzameen Party (PSP) members in Orangi Town neighborhood, Karachi, Pakistan. At least two members were killed in the assault. No group claimed responsibility; however, authorities arrested two Muttahida Qami Movement (MQM) members in connection with the attack.",1,0,Armed Assault,Private Citizens & Property,"Members: Nadeem, Rashid",Muttahida Qami Movement (MQM),,2.0,Firearms,2.0,0.0
