eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,summary,success,suicide,attacktype1_txt,targtype1_txt,target1,gname,motive,nperps,weaptype1_txt,nkill,nwound
201204050010,2012,4,5,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"04/05/2012: A suicide bomber in an explosives-laden car detonated near a Senior Superintendent of Police (SSP) at a market in Malir district, Sindh province, Pakistan. The SSP, Rao Anwar, was not wounded in the attack; however, five people, including police officers, were killed and 14 others injured. Tehrik-e-Taliban Pakistan (TTP) claimed responsibility for the incident, stating that the senior police officer was targeted in retaliation for torture he had conducted on imprisoned members of the group.",1,1,Bombing/Explosion,Police,Convoy of Senior Official: Rao Anwar,Tehrik-i-Taliban Pakistan (TTP),Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident and stated that Rao Anwar was targeted in retaliation for torture he had conducted on imprisoned members of the TTP.,-99.0,Explosives,5.0,14.0
201212180004,2012,12,18,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"12/18/2012: Assailants on motorcycles opened fire on polio vaccination workers in Landhi Town, Karachi city, Sindh province, Pakistan. Two workers were killed in the attack. This was one of three similar attacks against polio vaccination workers in the country on the same day. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident.",1,0,Armed Assault,Government (Diplomatic),Two volunteers for the Expanded Programme on Immunisation (EPI),Tehrik-i-Taliban Pakistan (TTP),"The specific motive is unknown; however, sources speculated that the victims were targeted because they were polio vaccination campaign workers.  Moreover, sources noted that the Taliban has previously stated their opposition to polio vaccination campaigns in Afghanistan and Pakistan because the armed group believes that the workers are United States (US) spies and that the vaccine is secretly intended to sterilize Muslims.",-99.0,Firearms,2.0,0.0
201301170025,2013,1,17,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"01/17/2013: Assailants opened fire on Manzar Imam's vehicle in Orangi Town, Sindh province, Pakistan. Manzar Imam, an Muttahida Qaumi Movement (MQM) provincial lawmaker, and three of his guards were killed in the attack. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident.",1,0,Assassination,Government (General),Member: Manzar Imam,Tehrik-i-Taliban Pakistan (TTP),,-99.0,Firearms,4.0,0.0
201303030001,2013,3,3,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"03/03/2013: An explosives-laden car detonated in Abbas Town district, Karachi city, Sindh province, Pakistan. The explosion targeted a Shia mosque, killing at least 45 people and injuring more than 150 people. No group claimed responsibility for the attack; however, authorities arrested members of both Tehrik-i-Taliban Pakistan (TTP) and Lashkar-e-Jhangvi for their involvement in the incident.",1,0,Bombing/Explosion,Religious Figures/Institutions,Shiite Mosque,Tehrik-i-Taliban Pakistan (TTP),"The specific motive is unknown; however, sources posit that Lashkar-e-Jhangvi (LeJ), an affiliate of Tehrik-i-Taliban Pakistan (TTP), executed the attack because they were retaliating for the recent imprisonment of their leader Malik Ishaq and continuing their violent sectarian campaign against Pakistan's Shiite population.",6.0,Explosives,45.0,151.0
201303130003,2013,3,13,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"03/13/2013: Gunmen on a motorcycle shot and killed Pakistani activist Parveen Rehman in Orangi Town area of Karachi, Sindh province, Pakistan. No group claimed responsibility for the attack; however a Tehrik-e-Taliban Pakistan (TTP) member suspected of the crime was killed the next day in a shootout with police.",1,0,Armed Assault,NGO,Founder: Parveen Rehman,Tehrik-i-Taliban Pakistan (TTP),,-99.0,Firearms,1.0,0.0
201304030011,2013,4,3,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"04/03/2013: Assailants threw a grenade at a military vehicle near Rangers headquarters in Karachi city, Sindh province, Pakistan. Four Rangers were killed and four people, including civilians, were injured. The Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the attack, stating that they targeted the Rangers because they supported the secular government.",1,0,Armed Assault,Military,Van,Tehrik-i-Taliban Pakistan (TTP),"Ehsanullah Ehsan, spokesperson for Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the incident, stating that they targeted the Karachi Rangers because of their anti-TTP activities and support of the secular government.",-99.0,Explosives,4.0,4.0
201304260001,2013,4,26,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"04/26/2013: An explosive device attached to a vehicle detonated in Karachi city, Sindh province, Pakistan. The incident occurred outside an Awami National Party office. Eleven people were killed and 40 others were injured in the attack. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident.",1,0,Bombing/Explosion,Private Citizens & Property,General Secretary: Bashir Jan's Election Rally,Tehrik-i-Taliban Pakistan (TTP),"Ehsanullah Ehsan, a spokesperson for Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the incident, stating that TTP targeted the Awami National Party (ANP) because of the political organization’s secular views.",1.0,Explosives,11.0,40.0
201304270015,2013,4,27,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"04/27/2013: A remote controlled explosive device detonated in Karachi city, Sindh province, Pakistan. The device was hidden inside of a motorcycle outside of a Pakistan Peoples Party (PPP) office. Six people were killed and 28 were injured in the attack. This was one of three attacks in the city on this day, all of which were claimed by Tehrik-e-Taliban Pakistan (TTP).",1,0,Bombing/Explosion,Violent Political Party,Office,Tehrik-i-Taliban Pakistan (TTP),"The specific motive is unknown; however, sources note that Tehrik-i-Taliban Pakistan (TTP) vowed to attack Pakistan's secular political parties and organizations.",-99.0,Explosives,6.0,28.0
201305040022,2013,5,4,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"05/04/2013: A suicide bomber detonated an explosives-laden motorcycle near a Muttahida Qaumi Movement (MQM) office in Karachi city, Sindh province, Pakistan. This was one of two blasts in the area on this day. In addition to the assailant, at least five people were killed and 30 others were injured across both blasts. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident.",1,1,Bombing/Explosion,Journalists & Media,Journalists,Tehrik-i-Taliban Pakistan (TTP),"Ehsanullah Ehsan, a spokesperson for the Tehrik-i-Taliban (TTP), claimed responsibility for the attack and stated that the Muttahida Qaumi Movement (MQM) office was targeted as part of a larger campaign of violence against secular parties by the TTP.",-99.0,Explosives,3.0,15.0
201305110015,2013,5,11,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"05/11/2013: An explosive device detonated near the Awami National Party (ANP) election office in Karachi city, Sindh province, Pakistan. This was one of two bombings that occurred within minutes of each other in the same area of Karachi; this first attack was meant to target Amanullah Mehsud, an election candidate. Mehsud was unharmed in the explosion; however, at least 10 people were killed and 36 others were injured across the two incidents. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the coordinated attacks.",0,0,Assassination,Private Citizens & Property,Election Office of Candidate: Amanullah Mehsud,Tehrik-i-Taliban Pakistan (TTP),"The specific motive is unknown; however, sources noted that the target, Amanullah Mehsud, is an Awami National Party (ANP) candidate in Pakistan's general election, which was being held on this date, May 11th, 2013.",-99.0,Explosives,5.0,18.0
201306260008,2013,6,26,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"06/26/2013: A remote-controlled explosive device detonated in Karachi city, Sindh province, Pakistan. The explosion targeted Justice Maqbool Baqir of the Sindh High Court. Twelve people were killed and 14 others were injured, including the judge. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the attack, stating that the judge was targeted for his anti-Muslim verdicts. Sources also attributed the attack to Lashkar-e-Jhangvi.",1,0,Bombing/Explosion,Government (General),Senior Judge: Maqbool Baqir's Convoy,Tehrik-i-Taliban Pakistan (TTP),"The Tehrik-i-Taliban Pakistan (TTP) claimed responsibility and stated that Justice Baqar Maqbool of the Sindh High Court was targeted due to his ""un-Islamic decisions"" against militants.",-99.0,Explosives,12.0,14.0
201308030014,2013,8,3,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"08/03/2013: Six assailants on motorcycles opened fire on a Sharafi Goth Police patrol van in Bagh Korangi area, Karachi city, Sindh province, Pakistan. Four police officers were killed in the attack. No group claimed responsibility for the incident; however, police suspected that Tehrik-i-Taliban Pakistan (TTP) was involved.",1,0,Armed Assault,Police,Patrol: Zulfiqar,Tehrik-i-Taliban Pakistan (TTP),,6.0,Firearms,4.0,0.0
201311010044,2013,11,1,Pakistan,South Asia,Sindh,Karachi,24.891116,67.143312,"11/01/2013: Assailants attacked an Internet cafe in the Quaidabad area of Karachi city, Sindh province, Pakistan. The attack was intended to target someone who had already left the area. So, instead, the assailants exchanged gunfire with police. Two people were killed and three others, including an assailant, were wounded. No group claimed responsibility for the incident; however, the attack was attributed to Tehrik-i-Taliban Pakistan (TTP).",1,0,Armed Assault,Business,Internet Cafe,Tehrik-i-Taliban Pakistan (TTP),,4.0,Firearms,2.0,3.0
